Oinwe	Ve.
nonra akai descomposiciones aditivasbo tarjetas numerikasnin	realizamos descomposiciones aditivas con tarjetas numéricas
¿nonki  noa axeainko  benxoati atipana?	¿podríamos arreglar el aula?
¿nonmein aki kai yoinaboribiki ikabo ninkakin?	¿tendremos información acerca de los animales?
¿non kaibobonmein ninkati bokanai?	¿lo entenderán nuestras familias?
noa mechokikanai non piamabi	nos lavamos las manos antes de comer los alimentos
nonra akai pichika cifiraya nomirobo mesko axonbo akin	representamos números de cinco cifras de diversas formas
neskarain non oinara	en esta perspectiva
¿nonki ati atipana taxnankin nato kartelesbo ikainko?	¿podemos colocarlo en alguno de estos carteles?
noara teetai axetian  y millarnin non pikoa bankonko	formamos grupos y representamos números de cuatro cifras
nonra onankanai elementos del plano cartesiano westiora crokis axon	reconocemos los elementos del plano cartesiano al elaborar un croquis
non wishaabo	lo que hemos escrito
¿nonra ani wishani peoai?	¿utilizamos la mayúscula al inicio de la oración?
non wishainkora	en nuestro texto
noara teetai axetian  referencias necesaria millarnin non pikoa bankonko	identifica las referencias necesaria en situaciones de localización y desplazamientos
ikaxbira maxkake wetsa tee aki katibo non shinainbatabo non wisha akainko	pero faltan aún otras actividades que habíamos programado en el planificador
ikaxbira maxkaparike wetsa teebopari non seneanti non planificador ain wishaakeska akin	pero faltan aún otras actividades que habíamos programado en el planificador
¿qué non ati iki ellos? betan	¿qué podríamos hacer con ellos?
non yoibeakeskati	sobre la base de lo expuesto
nonra nenkeai patrones geometricosbo bantirashokobo akin	ampliamos patrones geométricos al elaborar banderines
rotacion iamax girobo ikai figurabo planonko,	la rotación o el giro de figuras en el plano,
¿nonra ake senen  akin non shinana keska akin neska akin wishati kopi?	¿cumplimos con lo planificado para escribir el texto?
nonki akai wisha senenainko tsitsa akin ?	¿colocamos el punto final?
¿matonki shinanai neska aka pekaoki non ati atipana non mesko sectorbaon bocho akin?	¿creen que nos puede servir para organizar los sectores de nuestra aula?
tsinkixonra non mesko shinan yoikanaibo wishai	tomamos apuntes en una asamblea
¿wetsaresibiakinki non aribati atipana?	¿podrían agruparlos de otra manera?
nonra akai shinanxon yoikin meskotibo teeti,	proponemos diferentes situaciones en las que
¿tsoaki non wishaxonai?	¿a quién le escribiremos?
nonra joyonai raston rastoma ixon	ordenamos por grosor
nonra wishai fichashokobo mesko wishabo non akainko	escribimos fichas de nuestros materiales escritos
tsoabi en abanon iamaitian	si ninguno se anima
¿qué pasos non seguir primero?	¿qué pasos debemos seguir primero?
nonra akai akin nokokin esquemas graficosbo axon	resolvemos problemas usando esquemas gráficos
noara teetai axetian  al millarnin non pikoa bankonko	jugamos  lanza al mil  y contamos agrupando
non onanti	importante
noara teetai axetian  millarnin non pikoa bankonko	estimamos utilizando estrategias de cálculo
wetsa axeti netenko non peoribiti kopi	para retomarlo la próxima sesión
non shinan akabora non wishapakeai non mesko akin oina pekao	establecen las normas del aula a partir de las situaciones analizadas
nato wishakanra non keyoti atipanke tsinkitiainxon	con este cartel estamos avanzando en nuestra organización
noara teetai axetian  millarnin non pikoa bankonko	descomponemos números de cuatro cifras
nonra sikake rectangulosbo maxkonkoxon aninko	hemos pintado rectángulos del más pequeño al más grande
¿tsonaki non wishati iki?	¿para quién escribiremos?
toponon ikanwe meskokeska axebaon	contamos utilizando diversas estrategias
meskokeskati tsinkinon ikanwe	agrupamos de diversas maneras
¿yoiwe non yoikasi iakbo?	¿expresa lo que queríamos decir?
non familias	nuestras familias
baritia winonon kaman	a lo largo del año
iamax non axetiainoa non rekema ranon	o delegado de aula
nonra topontibo ake pekao chonkanxoxon peokotainoax	hemos puesto las regletas detrás del material base diez
nonra oinkanai nonki akai ixon non shinanabo seneankin	evaluamos el cumplimiento de nuestras responsabilidades
nenora non akai akin estrategias heuristicas problemas aditivos akin numeros naturalesboya	emplea estrategias heurísticas al resolver problemas aditivos con números naturales
nonra sikake wishtinbo yankonshamantonin jishtimachainoax kikinshaman jishtiainxon	hemos pintado estrellas de color azul desde un tono claro al más oscuro
nonra wesko shinan akaibaonra non akai shinan aniakin	nuestras diferencias nos ayudan a crecer
non seneanti joibo	cuadros de responsabilidades
noara teetai axetian  unidad de millarnin non pikoa bankonko	representamos la unidad de millar en el banco del aula
nenora non aki kai ikiakana axei bakebo ixon onankin,	se evaluará el desempeño de los niños y niñas
miara non akai yoikin min ati kopi jikimakin non programacion curricular ikainko	te invitamos a incluirlas en tu programación curricular
wishawe westiora papelotiain	prepara el texto en un papelote
westiora ribojo awe caratula ikainko	haz un dibujo en la carátula
kinibotiibi westiora cinta iamax lana niawe	pasa una cinta o lana por los huecos
aribarati atipanke westiora tsoaki pikotai ixon aka	también puedes hacer un sorteo
westioraninra ichamacha biai wetsan biai keskama	una de ellas deberá contener menos elementos que la otra
westiora silababicho westiora letraya aka ixonki	si han representado alguna sílaba con una sola letra
tsekawe westiora yakati	retira una silla
westiora joi potati	dejar un recado
arakanai westiora meskokeska wishabo ikainko	elaboramos un catálogo de los textos
paninkanwe westiora jishtishaman itinko axetiainko	colóquenlo en un lugar visible del aula
westiora shinan ika	un mensaje
enra oinai oinai misa naman westiora..	veo veo debajo de la mesa un
iamax westiora yosin akina	o por medio del adulto
westiora shinan bicho akanwe	pónganse de acuerdo
mapo bechinxonra en oinbake westiora metsashaman ani joi yoi ika	al girar la cabeza únicamente vi un bonito cartel que decía
westiora maxo ini oxenki keeni	de un zorro enamorado que hablaba con la luna
itipanax westiora yakatinin	de preferencia en una silla
awe benxo akin westiora kartulina	prepara una cartulina
westiora joinkobi baneyamai	sin detenerte en cada palabra
iamax westiora yosi jonin akina,	o por medio del adulto
yoipakewe westiora wishakana	parafrasea el contenido de un texto de estructura simple
oinmakana iti atipanke westiora wishakanbicho	si han representado alguna sílaba con una sola letra
rabekax iamax westiorabicho	en pares o de forma individual
wishawe westiora joi  wisha betan paketaishamantonin	escribe una letra que se corresponde con alguna de la sílaba
preséntales westiora papelote ikainko listado westiora recomendaciones de	preséntales en un papelote un listado de recomendaciones
westiora peinko	en una hoja
westiora joibo pikoboi westiora letranin	representando una palabra por cada letra
westiora meniwe	devuelve una
¿westiora kointomein iki?	¿será un cuento?
arakanai westiora ani wisha bakebo joai ixon ointi	elaboramos un cartel de asistencia
westiora bake papelotiain wishati yokawe tsinkibaon shinan yoiyai	pide a uno de los estudiantes que anote en un papelote las ideas del grupo
westiora joi nichini westiora letrabo kopi	representando una palabra por cada letra
westiora modelo axon aka  rotacion de figurasain nato boa  plano cartesianos ain	al elaborar un modelo basado en la rotación de figuras en el plano cartesiano
westiora shinan axon tsinkitiainxon yoiti kopi	un acuerdo para proponer al grupo
peowe westiora neteronki ika iki..	comienzan con había una vez
westioraninbichobo wishati	cada niño o niña sugiere un nombre
meniwe letra taxketaibo bakebo westiorabo	entrega las letras móviles a cada estudiante
westiora westiorabo	uno por uno
westiora criteriobo ikainko	según un determinado criterio
arakanai westiora ani wisha bakebo joai ixon ointi	elaborando el cartel de asistencia
westiora senen ati joi maxkaketainkan	si faltara alguna palabra
westiorabo	de forma individual
westiora kaibonin akinti	con ayuda de un familiar
sector matematica implementanti westiora activida axon " banco el peruanito"	implementación del sector de matemática con la actividad 'banco el peruanito'
westiora papelote awe taxnankin pisarain westiora tablanin yoiyai	coloca un papelote en la pizarra con una tabla que dice
mariananinra beai westiora plastiko botiria	mariana trae una botella descartable
westiora shinan aka westiorabaona	una pieza por cada integrante
awe nato yokabo	formula las siguientes interrogantes
nato axetienko,	en esta sesión
silabico betan silabico alfabetico senetian nato chinitakan alfabetikoya	silábico con silábico alfabético y este último con alfabético
akinwe nato tee	acompaña este proceso
nato unidad ikain,	en esta unidad
nato reunión padres de	en la reunión de padres
awe onankanarin ixon nato yokabo akin nato yokabo axon	asegura la comprensión de las situaciones planteadas mediante estas preguntas
nato ati kopi	para hacerlo
nato axetiainkora	en esta sesión
en nato tsinkiti,	en esta sesión
natobo ikai iki rekeni patron peokotainkoki	que intervienen en la formación del patrón
axekiakana ixon nato unidain tanati	evaluación de la unidad
nato gradonkora,	en este grado
nato yoka axon	a través de esta pregunta
nato teebo akainko	a través de estas actividades
¿nato s nakan?	¿y las de s
awe tarjetabo akin nato joiyabo " arriba "	prepara tarjetas léxicas con las palabras arriba
nato tsinkiti	en esta sesión
iti atipanke oimeti nato joainko	pueden presentarse las siguientes situaciones
nato riki	esto es
awe onankanarin ixon nato yokabo akin	asegura la comprensión de la situación formulando las siguientes preguntas
peokoowe nato yokabo ataanan	propicia el diálogo partir de estas preguntas
natobo naman	debajo de estas
natoriki	esto es
nato axetiainko	en esta sesión
nato reken unidad	en esta primera unidad
nato peokota unidainra	en esta primera unidad
nato yoka akainxon	a partir de estas preguntas
nato axetienkora,	en esta sesión
nato gradoainra	en este grado
awe onankanarin ixon nato yokabo neska axon	asegura la comprensión de la situación mediante preguntas como estas
nato axetienkora	en esta sesión
nato kano ikainko	en esta sesión
yokawe axeaibo nato yokabo axon	realiza a los estudiantes las siguientes preguntas
nato reken unidain	en esta primera unidad
nato unidainra bakebaon	en esta unidad los estudiantes
natobora  ikai iki patron peokotainko	que intervienen en la formación del patrón
¿maton oina iki wetsakeska wishabo nato jisa?	¿han visto otros textos parecidos?
moa nato sesion aka pekao	luego de llevar a cabo las sesiones
nato joibo ataanan " bochiki	usando las expresiones arriba
nato kointo penpenshoko iskoirain kai	el cuento mariposita va a la escuela
natora ikai axetiaintaxnatabaon akina	apoyados en los carteles del aula
nato teebo ikainko	a través de estas actividades
noara axekanai onani nato angulo de giro	aprendemos a identificar el ángulo de giro
nato unidad ikainkora peokotai meskokeska tee atibo,	la presente unidad parte de las actividades escolares iniciales
¿nato wetsa atinkokan?	¿y en esta otra?
natobaonki wetsabires yoikana ixon	si estos respondieran otra cosa
bakebora aki bokanai tanakin wishamaxon akonkiakana onankin ixon nato unidad 1	se evaluará el desempeño de los estudiantes en la unidad 1 y se registrará el logro de los aprendizajes en una lista de cotejo
¿matoki  nato pakex maton wishaaya iki?	¿tiene esta parte lo que han escrito?
nato axeti unidad didàctica ikainko,	en esta unidad didáctica
iamax atipantikaman,	o próximo al alfabético
awe akin wishakin sokota iamax ori cifrayabo nomirobo min akatoninbiribi	elabora representaciones de números de seis o más cifras de forma simbólica
yakabainabo axeti chicho iamax  jeman kaaxbo	sentados juntos dentro o fuera del aula
iamax mi bebon ika betan	o por medio del adulto
alfombrain  iamax petateain	alfombra o petate
bakebaon yoiyaibo awe pisarain iamax papelografonko	registra las respuestas de los estudiantes en la pizarra o en un papelógrafo
¿benbo bakebaonabichomein iki iamax ainbo bakebaonabicho?	¿serían solo de varones o solo de mujeres?
chicho iamax jeman axetiainkoniax	dentro o fuera del aula
reken jeekan peoa iamax naponbekon jeekan abainabo	en nivel alfabético o próximo al alfabético
aseo iamax aceo?	aseo o aceo?
lana pakexbo iamax yomanbo meskokeska sikayabo	trozos de lanas e hilos de diferentes tonos de colores
shinanbo okeayamawe ninkaxonmabi iamax ati keska oinxon	no deseches ninguna propuesta sin antes analizar su utilidad o la posibilidad de hacerlo
axeti chichoxon iamax jemanxon	dentro o fuera del aula
iamaxon akinkin	sino brindar su colaboración
alfombra iamax petate	alfombra o petate
primer gradoain axeamis iamaxon bakebo betan	si tú no has sido la docente de primer grado de tu grupo de estudiantes
sikatibo iamax crayolabo	colores o crayolas
baritia netebo iamax neten ika	la estación del año o el clima
mesko jotoyashokobo iamax bloques logicobo	fichas de figuras  o bloques lógicos
lana iamax  cinta	lana o cinta
frisobo , plano cartesianobo iamax cuadriculanko	frisos y diseños en el plano cartesiano o en la cuadrícula
iamax joai alfabetikoain	o próximo al alfabético
yora iamax bemana koshiai	cuerpo o expresiones de la cara
raston iamax sika	grosor o color
plumonesbo sikaya iamax rapis sikayabo	plumones de colores o lápices de colores
iti atipanke señor iamax selección	como señor o selección
wisha aka ointanan awe iamax ribojo min aka	hice uso de la ficha o de los dibujos que realicé
yokawe yoinkanti tsonki ati iki ixon benbo bake iamax ainbo baken	pídeles que elijan a una niña o niño para que
shinan  akabo iamax	frases u oraciones completas  que forman parte del letrado que utiliza en el aula o fuera de ella
nobe axeai ainbo iamax benbobo	para nuestro compañero o compañera
joibo iamax keyo wishakana	frases u oraciones completas
ribojobaon iamax tsa tsashokobaon	con dibujos e íconos
iamax joai alfabetikoain	lo próximo al alfabético
cuadriculadoya papelotebo iamax sereya bichobo	papelotes cuadriculados o con líneas
minbicho iamax mi bebon ika betan	solo o por medio del adulto
taxnanti masking tape iamax limpiatipobo	cinta masking tape o limpiatipos
tee atibires iketiankan iamax atikomaribi	si fue una tarea fácil o difícil
nivel alfabetikoain iamax joai nivel alfabetikoain	en nivel alfabético o próximo al alfabético
tsinkiti 9	sesión 9
tsinkiti 10:	sesión 10
tsinkiti 2	sesión 2
tsinkitiainkoniax	en grupo
tsinkitiainkoniax	en grupos
tsinkiti 8:	sesión 8
tsinkiti 6:	sesión 6
tsinkitiainxon	durante la asamblea
* axeti tsinkitiainxon	* en grupo clase
tsinkiti 7:	sesión 7
tsinkiti peokotamabi	antes de la asamblea
tsinkiti 2:	sesión 2
tsinkiti 11	sesión 11
tsinkiti 12	sesión 12
tsinkiti 12:	sesión 12
tsinkiti 03	sesión 03
tsinkiti 05	sesión 05
tsinkiti 02	sesión 02
mesko tsinkitibo ikainkonia	por grupos
tsinkiti 3	sesión 3
tsinkiti 5:	sesión 5
tsinkiti 9:	sesión 9
tsinkiti 6	sesión 6
tsinkiti 10	sesión 10
tsinkitibi	por grupos
¿ikiana tsinkiti mesko shinanbo yoitiainko?	¿participaron del intercambio?
tsinkiti 3:	sesión 4
tsinkiti 7	sesión 7
tsinkiti 11:	sesión 11
ebe axeai tsinkitiainxon akinti	ayudar al compañero al trabajar en equipo
tsinkiti n  12	sesión n 12
minra ointi atipanke iti atipanke neskara keskabo	podrás observar ejemplos como estos
neskara baneti atipanke	podría quedar así
¿iti atipanke maton kaibobo?	¿quizás sus familiares?
ati atipanke meskokeska ribojoya	si desean lo pueden hacer a través de dibujos
teekanti atipanke neskara tabaranin	podrías trabajar con una tabla así
iti atipanke	por ejemplo
bakebaonra mia yokati atipanke min wetsa ati	los niños pueden pedirte que sustituyas
wisharati atipanke alfabeticamente	si pueden escribir alfabéticamente
*                                                                                                                                                                                 *yoiti atipanke primer gradonin tee aka reken unidain	** se considera la capacidad de primer grado por trabajar la primera unidad
min yokati atipanke	puedes preguntar
irbati atipanke wetsa joiboribi	sino también otras palabras
iti atipanke catalina	como por ejemplo catalina
iti atipanke xobo jemanko	puede ser el patio
akaskinronki akanti atipanke ribojobo axonkin	si desean lo pueden hacer a través de dibujos
iti atipanke unidad didactica integradana	en el caso de la unidad didáctica integrada
neskara oinmeti atipanke	podría verse así
iti atipanke,	por ejemplo
ribojoya iti atipanke	puede contener dibujos
kointo wishabo	historietas
¿matoki wishabo texea?	¿le sobran letras?
ani wishabo	letreros
wishabo akabo	lista de cotejo
mesko wishabo ati	si invierte las letras
¿qué wetsa wishabo instructivos conocen?	¿qué otros textos instructivos conocen?
¿matoki texea wishabo?	¿le sobran letras?
oinwe wishaboki alfabetikoain akana	fíjate si los textos han sido escritos en nivel alfabético
¿mia wishabo maxkata?	¿le faltan letras?
meskokeska wishabo ikainko	enciclopedias
maton ninkatai keska wishabo ikainko iki kikin nenke	así como en su comprensión de mensajes orales cada vez más complejos
ani wishabo	escritura de letreros
meskokeska wishabo wishawe nivel alfabetikoain	escribe textos diversos en el nivel alfabético
meskokes wishabo situaciones comunicativasain	diversos textos en situaciones comunicativas
wetsa wishabo	textos
¿mato maxkata wishabo ?	¿le faltan letras?
wishabo joyonpaketiainko	si se trata del orden de las letras
wishawe meskokeska wishabo	escribe textos diversos
peokotai wishabo wishakin	escribiendo los títulos
joyonpaketi meskokeska wishabo alfabetikamente	si deciden ordenar los textos alfabéticamente
mesko shinanbo wetsabo betan akax teeti	realizar coordinaciones y preparar los materiales necesarios
yokawe akanti meskokeska grafikasbo ribojoyabo	pide que realicen las representaciones gráficas de las colecciones mediante dibujos
mesko shinanbo akaya,	con diversas temáticas
yoiyai relaciones aditivasbo itoshiai mesko etapasboain,	interpreta relaciones aditivas en situaciones de varias etapas
neskarainoax joai meskokeska yokabo	ante esto surgen las siguientes interrogantes
mesko wisha taxnantibo	los carteles
bakebo meskokeska shinanyabo tsinkiwe ikaxbi	junta a los estudiantes con hipótesis diferentes pero próximas
pirota mesko anibo	pelotas de variados tamaños
mesko sikabo	colores
meskokeska pomobo	frascos de distintos tamaños
wishawe mesko shinanbo axon mesko akinbo wishaxon min akatoninbiribi wetsankoniaboribi shinan bixon	escribe textos diversos con temáticas y estructura textual simple a partir de sus conocimientos previos y en base a alguna fuente de información
neskara kopira ikai meskokeska yokabo pikoti	ante esto surgen las siguientes interrogantes
mesko chopabo mesko sikayabaon	forrada de un determinado color
jonibo mesko winota yoi ikabo	historietas
meskokan sikati rapisbo	lápices de colores
mesko sectores del aulabaona benxoai	prepara los materiales de los sectores del aula
raston akin wishati meskokeska sikayabo	plumones de colores o lápices de colores
mesko raston senboya lanabo	trenzas de lana de diferente grosor
jiwi taxoshokobo mesko rastonbo	palitos de diferente grosor
meskotibo tsinikin	a través de juegos
toponti meskokan sikaabo	regletas de colores
yokawe yoikanti meskokeska proposicionesbo ikainko	pide que respondan mediante proposiciones como
meskokeska kirakabo ikainko wishakanabo onantishama	en diversos tipos de textos con varios elementos complejos en su estructura
mesko yokabo apakewe	formula las siguientes preguntas
mesko shinanbo merakanai wisha kointo meran	ubican información en el cuento
pikorai mesko wisha akabo	escribe textos diversos
raston akin wishati meskokeska sikayabo	plumones de colores
wishawe bakebaon yoiyai	anota las respuestas de los estudiantes
minbicho wishawe	escribe solo
wishawe tsama leonbaon aka keska akin	escribe como lo escribió el grupo  león
wishawe convencional kopi	escribe de manera convencional
wishawe	escríbela
wishawe papelotenko	anótalo en un papelote
wishawe jee betan  wisha ayanan	escribe empleando correspondencia sonido letra
wishawe convencional keska akin	escribe de manera convencional
wishawe ati keska akinbi,	escribe de manera convencional
wishawe topontibo rabe katayabo kaman,	elabora representaciones de números de hasta dos cifras
wishawe shinanbo pakex joiain	escribe las ideas de manera breve
wishawe joibo kimisha letrayabo	escribe las palabras usando por lo menos tres letras
wishawe senen atibo	escribe las reglas
wishawe joibo wetsaresibibo yoi ikayabo	escribe palabras en las que las letras deben ser diferentes para que diga algo
wishawe topontibo rabe katayabo kaman	elabora representaciones de números de hasta seis cifras de forma simbólica
peokotai joi shinantanan	considerando el tema
peokota 6:	sesión 6
onankiati iki wetsa join axon aka ikaxbi peokota ca kan	podrán reconocer si ubican otra palabra que empieza con ca
peokota 10:	sesión 10
peokota 8:	sesión 8
peokota 1:	sesión 1
nenora peokotai:	surge el reto
peokota 9:	sesión 9
tsinki peokotamabi	antes de la asamblea
peokota 11:	sesión 11
akinwe benakin wetsa joibo peokotai silabanin wishakaskanaitonin	ayúdalos a buscar otras palabras que comiencen con la sílaba que necesitan escribir
peokota	inicio
peokota 12	sesión n 12
peokota 3	sesión 3
peokota 7	sesión 7
banewe tsaran ati ikainko	detente donde se encuentra una campana
neskara ikainko,	en este caso
chicho ikainko	en la parte inferior
toponti ikainko	sector de matemática
jishti sika ikainkoxon jistima sika ikainko	del color más claro al color más oscuro
¿maton kenki ika rao ati mato ikainko?	¿les gustó adornar los sectores?
jishtima sika ikainkoxon jishti sika ikainko	del color más oscuro al color más claro
chicho ikainko	en el parte inferior
tsinkibo ikainko kaxon yokawe	ve por cada grupo y pregunta
meken ikainko papeloteya iwe	ten a mano el papelote
kimisha tsinki ikainko	en grupos de tres
wisha ikainko yoiyaitian	señalándolo en el cartel
ani wisha ikainko yoibokin	señalándolo en el cartel
planificar ikainko wisha oinxon	cuando lean lo escrito en el planificador
teetaibo	personal
maton xobonkoxon tee atibo	tarea a trabajar en casa
tee 4 aki bokanai kaman	mientras realizan la actividad 4
tee ati 6	actividad 6
tee atibo 4, 5 y 6,	actividades 4, 5 y 6,
wetsaresibiakin unida didactikabo tee akin peotibo	otra forma de programar las unidades didácticas
¿enki atipana wetsaakin j teeti atibo reken yoiyai tsekaxon?	¿puedo modificar algunas actividades de las sesiones?
atipanax iwe teeti wetiora calculadoranin	incluyendo el uso de la calculadora
chonkankoniax teeti peokoti	material base diez
sectoresain teeti	trabajo en sectores
teekanai kaman	durante la ejecución
joni isinabo teetikomabo,	discapacidad
tee ati 5	actividad 5
oinwe bakebo tsinkitax teetai	supervisa en los grupos que cada estudiante
bakebo tsinkiwe chosko tsama axon tee kanti kopi	organiza a los estudiantes en cuatro equipos
nocion debajo tee atinko	para el caso de la noción debajo
tee akaibo	actividades
¿tsoabaonki aka shinankin wetsa teeboribi ati?	¿cuáles proponen otras actividades?
moa axetiainko teeibata	trabajadas en la sesión anterior
sesioman teeti	a trabajar en la sesión
tee akanai tsinki axon	por equipos de trabajo
tee ati 4	actividad 4
¿ nenkemashoko ikaxbiki kikin tsois iki ?	¿la norma está presentada de manera breve?
¿tsonpariki aki kai rein yokatai yokakin?	¿quién realizará la primera orden del rey?
bochiki	arriba
matoki kointoya iki	ustedes tienen cuentos
¿matonki maxo kointoboribi moabo maton ninkata iki wetsanko?	¿conocen zorros en otras historias?
koriki pei xateboribi aka	recortes de billetes de s
kikin jishtinkoniax kikin yameainko	del más claro al más oscuro
noara cientifikobo iki	somos científicos
noa riki meninbo	somos creativos
bakebaon onan shinanbo biwe " veo veo "  tsinitibo ikinxon	recoge los saberes previos a través del juego veo veo
¿wetsatianboki mato joi jenexonkana iki maton xobonko?	¿alguna vez les han dado o dejado un mensaje en su casa?
¿ ribojobomein yankama iki ?	¿los dibujos tienen relación con la norma?
neskara yoiya kopi riki	sobre la base de lo expuesto
jikita ora	a la hora de ingreso
tsinikin keyoxon oina	como resultado de la dinámica
oxera ika iki ochoira	la luna estaba lejos
matoki recetaya iki	ustedes tienen recetas
bakeriki wishatinin kikin meponte	el niño tiene mayor dominio de trazos
mapo yoxkexon oinara ika iki metsashoko ani wisha yoi ika	al girar la cabeza únicamente vi un bonito cartel que decía
jorgera axetiainko iki	jorge en el aula
merakanti joiboki kexkea iki ixon	si las palabras se encuentran juntas
cuadro rabe jikitiya	cuadro de doble entrada
koriki toponti onanti,	cálculo de dinero
tsonki aki kai bakena betan axeamisna	quién las hará  para los niños y el docente
tinta betan banko	la tienda y el banco
equivalencia betan cambio	equivalencia y cambio
traslaciones betan giros	traslaciones y giros
composicion betan descomposicion akabo	composición y descomposición aditiva
traslacion betan rotacion	traslación y rotación
escúcha atención betan	escúcha con atención
presilabico betan silabico	presilábico con silábico
wetsabaonra aki kai onanyamakin ribojo betan wisha	y otros no diferenciarán el dibujo de la escritura
wetsa ati	cambies
wetsankoboribi	en el otro
wetsabaon oxetibi ikai	otro hace los meses del año
wetsa joibo maxkaketiankan	si faltara alguna palabra
wetsa baritian	en el año anterior
wetsaboribi	etc.
wetsaboribi.	etc
wetsa axetiainko	a otra aula
raenankin shinankanakan moa wetsaresibibo	se observan y se dan cuenta que han cambiado
wetsan soaxon ati iketiankan	si hay que reemplazarla
moa wetsa neten aibakanabo	trabajadas en la sesión anterior
wetsakeska itintian,	como en cualquier otro espacio
wetsa join akabiribi	es decir
wetsankoribi	en la otra
wetsabaon akai kaman	mientras realizan la comparación
wetsa keskabo,	cambios
wetsa axetiain taxkekanai,	también el cambio de aula
wetsa tsinkiain	en otro grupo
moa wetsa baritian	en el año anterior
wetsabo ikai pari oinkin	si respetan el turno
wetsaboribi	entre otros
benbo bake itan ainbo bakebora axekanai jaskatax jatonbi shinan akax ikanai itanribi jaskatax yoyo iti itan wishati jaton shinanai jawekibo jaskaaxon jaton tsinki axetiankonia akinti kopi	las niñas y los niños aprenderán a participar democráticamente y usarán el lenguaje oral y escrito al expresar sus ideas y opiniones para su organización de grupo y de su aula
yoiwe westiora ribojo ati atipana itanribi jabe axeaibo oinmati kopi	dile que puede hacer un dibujo y compartirlo con sus compañeros
iti atipanke benbo bake itan ainbo bakebaon neskaakin wishakana	por ejemplo si los niños y niñas escribieron así
meniwe ja bake benbobo itan ainbo bakebo jan taxnanti cintabo iamax wetsa  jan taxnantibo jawekibo jain akanti kopi jaton boai jawekibo taxnankankin	entrega a los niños y las niñas etiquetas autoadhesivas o de otro material para que cada uno pegue su etiqueta en sus objetos personales
benbo bake itan ainbo bakebora axekanai jaska akin atikoma jawekibo seneanki bochiki nocionesbo	los niños y las niñas aprenderán a resolver problemas con las nociones arriba
meskokeska axetiain berobo jiwibo itan wetsa jawekibo jain tsamatabobetan	utilizando materiales de distintos sectores del aula
benbo bake itan ainbo bakebo yokawe	pregunta a las niñas y a los niños
ramara mato axeresai jaskaaxon nocionesbo ´mas que´ itan ´menos que´ rabekeskaakin jaweki ointan chonka kamanko	hoy continuarán aprendiendo a utilizar las nociones 'más que' y 'menos que' al comparar dos colecciones de hasta diez objetos
bakebora axekanai jaskaaxon cintina nomirobo jakon pakemati onanti itanribi tsinianan toponti axetiboribi, jaskara kopi,	los estudiantes aprenderán a representar la centena de forma concreta y simbólica en situaciones lúdicas de conteo, para ello
benbo bakebo itan ainbo bakebora axei bokanai,	los niños y las niñas aprenderán
jaskatax yoyo ati kirikayabo iti kopi itan jaya teetai jawekibo jakon akin tsamanti	para tener los libros y materiales ordenados
benbo bakebo itan ainbo bakebaonra aki bokanai atikoma jawekibo pontekin bochikiapari peoxon,	los niños y las niñas aprenderán a resolver problemas con las nociones  arriba
wishawe  westiora shinan aka bakebotiibi itan ja shinan akaribi wishawe westiora papelotenko	escribe un mensaje para cada estudiante y luego el mismo texto en un papelote
yokawe toro akin xatekanti itan taxnankanti chico mekayao toro shika jaskara yoyo ati kirika itina jisaakin	pide que recorten círculos y peguen en la parte inferior derecha el círculo con el color que corresponde a cada libro
jatiribibo itan jamaobibo tsinkikanai ja jain jaweki bitinko	algunos y ninguno al organizar el sector de la tiendita
shinanxon yoiya itanribi yoiya jaweki	la reflexión y la transferencia
parafrasea ja contenido westiora wisha instructivo atibires ikainko jawen jotobo inonbi itan ixon	parafrasea el contenido de un texto instructivo de estructura simple con imágenes y sin ellas
taxnanwe jotoshokobo iamax tarjetabo ribojoyabo ja rotafolio ikainko jainxon wishawe ja jawekibo naman neska akin yoi ika " mas que " itan " menos que "	pega láminas o tarjetas con dibujos de colecciones de objetos en el rotafolio y escribe debajo de ellas las expresiones  más que  y  menos que
jaskaaxon rao ati katokanai itanribi wishakanai tabarain jaska akin rao ati iki ikabo jaton jainoax axeai chicho itan bebonribi	elegirán diseños y registrarán en tablas a fin de ambientar el aula y sus exteriores
yoiwe jaweranorin nato jawekibo itan jonibo min ikatoninbiri,	describe la ubicación de objetos y personas con relación a sí mismo
jawe jawekiboki mia axeainko maxkata ixon yoiwe itanribi axeti xobonko	identifica las necesidades del salón y la escuela
jato akinwe jaskaaxon onankanti miki jaskatax nokokanti itanribi jakoni jabe axeaibo betan jaskatax nokoti kopi	ayúdalos a que vayan reconociendo la diferencia en la forma como se dirigen a ti  y la manera informal en que se pueden dirigir a sus compañeros y compañeras
korikibo itan sorobo,	billetes y monedas
jakon akin jain itina jaskaaxon meratibo shinankanai itanribi wetsa jawekibo merati	organiza datos respecto a la localización y de objetos
nato gradoainra ikai wetsaresibi bakebo axetibo joi jabaonra akai rama onankin jakon akin yoyo ati itanribi wishai jonibo iti	este grado les presenta nuevos desafíos en su camino de desenvolverse con autonomía como lectores y escritores
nato cartelbora iti jake bakebaonbi wishaa itanribi jatonbi ribojana	el cartel debe ser escrito por los niños y también dibujado por ellos
jainoaxribi wetsa axeamis joai itan wetsa jabe axei kaiboribi	y en algunos casos de maestro y compañeros
yoiwe benbo bakebo itan ainbo bakebo nato jawekibo	plantea a los niños y las niñas lo siguiente
